mode,engine,run,x,read_gvisits,write_mops,viol
5050,rlu_defer,2,128,9977.6,1.54,0
5050,rlu_defer,2,160,11876.7,1.46,0
5050,rlu_defer,2,192,14116.7,1.38,0
read,rlu_sync,1,1,527.1,0,0
read,rlu_sync,1,2,1056.3,0,0
read,rlu_sync,1,4,2111.6,0,0
read,rlu_sync,1,8,4145.1,0,0
read,rlu_sync,1,16,8276.3,0,0
read,rlu_sync,1,32,16572.4,0,0
read,rlu_sync,1,64,30171.3,0,0
read,rlu_sync,1,96,39485.8,0,0
read,rlu_sync,1,128,53887.6,0,0
read,rlu_sync,1,160,67306.4,0,0
read,rlu_sync,1,191,74907.2,0,0
write,rlu_sync,1,1,0,18.12,0
write,rlu_sync,1,2,0,7.95,0
write,rlu_sync,1,4,0,9.35,0
write,rlu_sync,1,8,0,10.63,0
write,rlu_sync,1,16,0,6.63,0
write,rlu_sync,1,32,0,7.22,0
write,rlu_sync,1,64,0,7.94,0
write,rlu_sync,1,96,0,8.22,0
write,rlu_sync,1,128,0,8.11,0
write,rlu_sync,1,160,0,8.04,0
write,rlu_sync,1,191,0,8.01,0
write,rlu_sync,1,192,0,8.00,0
5050,rlu_sync,1,2,520.9,0.03,0
5050,rlu_sync,1,4,1058.7,0.05,0
5050,rlu_sync,1,8,2103.2,0.10,0
5050,rlu_sync,1,16,3625.4,0.18,0
5050,rlu_sync,1,32,6636.6,0.31,0
5050,rlu_sync,1,64,10414.2,0.46,0
5050,rlu_sync,1,96,13218.0,0.59,0
5050,rlu_sync,1,128,14310.5,0.66,0
5050,rlu_sync,1,160,14759.8,0.71,0
5050,rlu_sync,1,192,16599.6,0.77,0
read,rlu_sync,2,1,529.9,0,0
read,rlu_sync,2,2,1041.9,0,0
read,rlu_sync,2,4,2121.3,0,0
read,rlu_sync,2,8,4171.3,0,0
read,rlu_sync,2,16,8317.4,0,0
read,rlu_sync,2,32,16642.8,0,0
read,rlu_sync,2,64,30350.2,0,0
read,rlu_sync,2,96,38791.7,0,0
read,rlu_sync,2,128,53443.0,0,0
read,rlu_sync,2,160,66225.6,0,0
read,rlu_sync,2,191,74103.8,0,0
write,rlu_sync,2,1,0,18.12,0
write,rlu_sync,2,2,0,7.92,0
write,rlu_sync,2,4,0,9.56,0
write,rlu_sync,2,8,0,10.71,0
write,rlu_sync,2,16,0,6.59,0
write,rlu_sync,2,32,0,7.28,0
write,rlu_sync,2,64,0,7.98,0
write,rlu_sync,2,96,0,8.21,0
write,rlu_sync,2,128,0,8.09,0
write,rlu_sync,2,160,0,8.07,0
write,rlu_sync,2,191,0,8.01,0
write,rlu_sync,2,192,0,8.01,0
5050,rlu_sync,2,2,532.3,0.03,0
5050,rlu_sync,2,4,1062.1,0.05,0
5050,rlu_sync,2,8,2106.6,0.10,0
5050,rlu_sync,2,16,3619.4,0.18,0
5050,rlu_sync,2,32,6153.4,0.29,0
5050,rlu_sync,2,64,10154.9,0.47,0
5050,rlu_sync,2,96,13468.7,0.59,0
5050,rlu_sync,2,128,13865.0,0.66,0
5050,rlu_sync,2,160,14518.2,0.70,0
5050,rlu_sync,2,192,16342.8,0.77,0
