engine,dirmul,writers,ndirs,mchurn_s,conserved
txn-global,16*writers,96,1536,196.176,OK
txn-pernode,writers/16,96,6,8.92901,OK
txn-pernode,writers,96,96,104.3,OK
txn-pernode,16*writers,96,1536,209.628,OK
txn-mark,writers/16,96,6,8.95227,OK
txn-mark,writers,96,96,95.5256,OK
txn-mark,16*writers,96,1536,207.383,OK
bucketlock,writers/16,96,6,1.54162,OK
bucketlock,writers,96,96,84.571,OK
bucketlock,16*writers,96,1536,287.164,OK
seqlock,writers/16,128,8,1.22695,OK
seqlock,writers,128,128,35.996,OK
seqlock,16*writers,128,2048,372.985,OK
txn-global,writers/16,128,8,8.07601,OK
txn-global,writers,128,128,113.88,OK
txn-global,16*writers,128,2048,244.879,OK
txn-pernode,writers/16,128,8,7.21029,OK
txn-pernode,writers,128,128,108.929,OK
txn-pernode,16*writers,128,2048,236.089,OK
txn-mark,writers/16,128,8,7.80653,OK
txn-mark,writers,128,128,114.057,OK
txn-mark,16*writers,128,2048,239.117,OK
bucketlock,writers/16,128,8,1.37551,OK
bucketlock,writers,128,128,59.4306,OK
bucketlock,16*writers,128,2048,340.437,OK
seqlock,writers/16,160,10,1.29173,OK
seqlock,writers,160,160,40.4037,OK
seqlock,16*writers,160,2560,442.28,OK
txn-global,writers/16,160,10,8.53004,OK
txn-global,writers,160,160,127.705,OK
txn-global,16*writers,160,2560,271.483,OK
txn-pernode,writers/16,160,10,8.459,OK
txn-pernode,writers,160,160,129.828,OK
txn-pernode,16*writers,160,2560,266.965,OK
txn-mark,writers/16,160,10,8.13522,OK
txn-mark,writers,160,160,127.657,OK
txn-mark,16*writers,160,2560,263.13,OK
bucketlock,writers/16,160,10,1.47737,OK
bucketlock,writers,160,160,54.9293,OK
bucketlock,16*writers,160,2560,412.323,OK
seqlock,writers/16,192,12,1.28589,OK
seqlock,writers,192,192,45.5835,OK
seqlock,16*writers,192,3072,498.703,OK
txn-global,writers/16,192,12,9.20478,OK
txn-global,writers,192,192,146.488,OK
txn-global,16*writers,192,3072,295.66,OK
txn-pernode,writers/16,192,12,9.08938,OK
txn-pernode,writers,192,192,145.7,OK
txn-pernode,16*writers,192,3072,297.139,OK
txn-mark,writers/16,192,12,9.09116,OK
txn-mark,writers,192,192,147.27,OK
txn-mark,16*writers,192,3072,290.143,OK
bucketlock,writers/16,192,12,1.39871,OK
bucketlock,writers,192,192,53.1296,OK
bucketlock,16*writers,192,3072,469.639,OK
