arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-mark-w32,lookup,32,8,5,613.989,3.697,OK
txn-mark-w32,lookup,32,8,6,545.674,2.19586,OK
txn-mark-w32,lookup,32,8,7,577.16,2.09328,OK
txn-mark-w32,lookup,64,8,1,827.02,2.3225,OK
txn-mark-w32,lookup,64,8,2,847.266,2.49426,OK
txn-mark-w32,lookup,64,8,3,920.638,3.35669,OK
txn-mark-w32,lookup,64,8,4,876.775,3.42678,OK
txn-mark-w32,lookup,64,8,5,941.994,3.37843,OK
txn-mark-w32,lookup,64,8,6,832.89,2.4181,OK
txn-mark-w32,lookup,64,8,7,879.954,3.36171,OK
txn-mark-w32,lookup,128,8,1,1285.99,1.97234,OK
txn-mark-w32,lookup,128,8,2,1284.54,1.95355,OK
txn-mark-w32,lookup,128,8,3,1362.88,1.94103,OK
txn-mark-w32,lookup,128,8,4,1345.69,1.41639,OK
txn-mark-w32,lookup,128,8,5,1301.48,1.95159,OK
txn-mark-w32,lookup,128,8,6,1236.78,1.95304,OK
txn-mark-w32,lookup,128,8,7,1241.89,1.93969,OK
txn-mark-w32,lookup,184,8,1,1618.28,1.72307,OK
txn-mark-w32,lookup,184,8,2,1546.2,1.72909,OK
txn-mark-w32,lookup,184,8,3,1558.13,1.70519,OK
txn-mark-w32,lookup,184,8,4,1573.07,1.71892,OK
txn-mark-w32,lookup,184,8,5,1605.79,1.71577,OK
txn-mark-w32,lookup,184,8,6,1510.13,1.73553,OK
txn-mark-w32,lookup,184,8,7,1593.79,1.72253,OK
txn-mark-w32,readdir,184,8,1,230.604,1837.97,OK
txn-mark-w32,readdir,184,8,2,223.744,1780.67,OK
txn-mark-w32,readdir,184,8,3,225.442,1794.53,OK
txn-mark-w32,readdir,184,8,4,224.702,1788.82,OK
txn-mark-w32,readdir,184,8,5,225.976,1798.33,OK
txn-mark-w32,readdir,184,8,6,222.57,1770.7,OK
txn-mark-w32,readdir,184,8,7,222.492,1770.64,OK
txn-mark-w32-shrink,lookup,8,8,1,176.684,2.81571,OK
txn-mark-w32-shrink,lookup,8,8,2,182.461,2.67414,OK
txn-mark-w32-shrink,lookup,8,8,3,180.449,2.77634,OK
txn-mark-w32-shrink,lookup,8,8,4,181.942,2.73473,OK
txn-mark-w32-shrink,lookup,8,8,5,191.114,3.51287,OK
txn-mark-w32-shrink,lookup,8,8,6,185.337,3.4477,OK
txn-mark-w32-shrink,lookup,8,8,7,178.815,2.77689,OK
txn-mark-w32-shrink,lookup,32,8,1,575.693,2.19706,OK
txn-mark-w32-shrink,lookup,32,8,2,553.359,2.18624,OK
txn-mark-w32-shrink,lookup,32,8,3,560.555,2.17552,OK
txn-mark-w32-shrink,lookup,32,8,4,559.348,2.18731,OK
txn-mark-w32-shrink,lookup,32,8,5,556.494,2.19205,OK
txn-mark-w32-shrink,lookup,32,8,6,541.818,2.26092,OK
txn-mark-w32-shrink,lookup,32,8,7,589.498,3.68061,OK
txn-mark-w32-shrink,lookup,64,8,1,951.599,3.32017,OK
txn-mark-w32-shrink,lookup,64,8,2,942.339,3.32275,OK
txn-mark-w32-shrink,lookup,64,8,3,908.279,3.39443,OK
txn-mark-w32-shrink,lookup,64,8,4,865.035,2.56074,OK
txn-mark-w32-shrink,lookup,64,8,5,814.392,2.57904,OK
txn-mark-w32-shrink,lookup,64,8,6,820.063,2.51715,OK
txn-mark-w32-shrink,lookup,64,8,7,818.008,2.47846,OK
txn-mark-w32-shrink,lookup,128,8,1,1243.35,1.45412,OK
txn-mark-w32-shrink,lookup,128,8,2,1267.99,1.43347,OK
txn-mark-w32-shrink,lookup,128,8,3,1311.74,1.48134,OK
txn-mark-w32-shrink,lookup,128,8,4,1299.13,1.4484,OK
txn-mark-w32-shrink,lookup,128,8,5,1266.85,1.48581,OK
txn-mark-w32-shrink,lookup,128,8,6,1268.03,1.43879,OK
txn-mark-w32-shrink,lookup,128,8,7,1351.16,1.46179,OK
txn-mark-w32-shrink,lookup,184,8,1,1612.4,1.39441,OK
txn-mark-w32-shrink,lookup,184,8,2,1622.02,1.36961,OK
txn-mark-w32-shrink,lookup,184,8,3,1620.72,1.36916,OK
txn-mark-w32-shrink,lookup,184,8,4,1704.73,1.3705,OK
txn-mark-w32-shrink,lookup,184,8,5,1661.4,1.37576,OK
txn-mark-w32-shrink,lookup,184,8,6,1612.73,1.77404,OK
txn-mark-w32-shrink,lookup,184,8,7,1577.34,1.74144,OK
txn-mark-w32-shrink,readdir,184,8,1,242.21,1927.71,OK
txn-mark-w32-shrink,readdir,184,8,2,240.698,1915.35,OK
txn-mark-w32-shrink,readdir,184,8,3,247.855,1977.04,OK
txn-mark-w32-shrink,readdir,184,8,4,244.218,1950.26,OK
txn-mark-w32-shrink,readdir,184,8,5,249.644,1992.39,OK
txn-mark-w32-shrink,readdir,184,8,6,243.362,1941.09,OK
txn-mark-w32-shrink,readdir,184,8,7,239.968,1910.39,OK
bucketlock,lookup,8,8,1,153.671,4.53136,OK
bucketlock,lookup,8,8,2,162.77,5.8994,OK
bucketlock,lookup,8,8,3,161.728,5.73884,OK
bucketlock,lookup,8,8,4,164.876,5.57357,OK
bucketlock,lookup,8,8,5,140.226,4.56216,OK
bucketlock,lookup,8,8,6,162.175,5.85034,OK
bucketlock,lookup,8,8,7,164.416,5.64661,OK
bucketlock,lookup,32,8,1,515.636,5.43096,OK
bucketlock,lookup,32,8,2,532.441,5.20854,OK
bucketlock,lookup,32,8,3,541.406,5.22341,OK
bucketlock,lookup,32,8,4,513.909,5.27176,OK
bucketlock,lookup,32,8,5,522.674,5.27069,OK
bucketlock,lookup,32,8,6,531.191,5.45488,OK
bucketlock,lookup,32,8,7,517.684,5.30842,OK
bucketlock,lookup,64,8,1,827.411,4.77717,OK
bucketlock,lookup,64,8,2,874.578,4.70809,OK
bucketlock,lookup,64,8,3,808.689,4.73822,OK
bucketlock,lookup,64,8,4,774.067,4.74937,OK
bucketlock,lookup,64,8,5,837.19,4.59147,OK
bucketlock,lookup,64,8,6,782.584,3.01458,OK
bucketlock,lookup,64,8,7,770.108,3.19385,OK
bucketlock,lookup,128,8,1,1181.48,1.99967,OK
bucketlock,lookup,128,8,2,1150.21,2.02125,OK
bucketlock,lookup,128,8,3,1215.32,2.00569,OK
bucketlock,lookup,128,8,4,1222.33,2.00191,OK
