panel,mode,engine,run,x,a,b,viol
random,write,rlu_defer,2,16,0.0,5.48,0
random,write,rlu_defer,2,32,0.0,4.35,0
random,write,rlu_defer,2,64,0.0,3.16,0
random,write,rlu_defer,2,96,0.0,2.34,0
random,write,rlu_defer,2,128,0.0,1.73,0
random,write,rlu_defer,2,160,0.0,1.39,0
random,write,rlu_defer,2,191,0.0,1.26,0
random,write,rlu_defer,2,192,0.0,1.25,0
random,write,rlu_sync,1,1,0.0,12.67,0
random,write,rlu_sync,1,2,0.0,6.67,0
random,write,rlu_sync,1,4,0.0,8.43,0
random,write,rlu_sync,1,8,0.0,9.47,0
random,write,rlu_sync,1,16,0.0,5.12,0
random,write,rlu_sync,1,32,0.0,4.55,0
random,write,rlu_sync,1,64,0.0,3.39,0
random,write,rlu_sync,1,96,0.0,2.54,0
random,write,rlu_sync,1,128,0.0,1.84,0
random,write,rlu_sync,1,160,0.0,1.44,0
random,write,rlu_sync,1,191,0.0,1.30,0
random,write,rlu_sync,1,192,0.0,1.29,0
random,write,rlu_sync,2,1,0.0,12.52,0
random,write,rlu_sync,2,2,0.0,6.67,0
random,write,rlu_sync,2,4,0.0,8.44,0
random,write,rlu_sync,2,8,0.0,9.47,0
random,write,rlu_sync,2,16,0.0,5.17,0
random,write,rlu_sync,2,32,0.0,4.60,0
random,write,rlu_sync,2,64,0.0,3.42,0
random,write,rlu_sync,2,96,0.0,2.53,0
random,write,rlu_sync,2,128,0.0,1.81,0
random,write,rlu_sync,2,160,0.0,1.43,0
random,write,rlu_sync,2,191,0.0,1.30,0
random,write,rlu_sync,2,192,0.0,1.28,0
hash,write,txn_hlist,1,1,0.0,0.98,0
hash,write,txn_hlist,1,2,0.0,1.95,0
hash,write,txn_hlist,1,4,0.0,3.81,0
hash,write,txn_hlist,1,8,0.0,6.98,0
hash,write,txn_hlist,1,16,0.0,8.48,0
hash,write,txn_hlist,1,32,0.0,12.26,0
hash,write,txn_hlist,1,64,0.0,17.45,0
hash,write,txn_hlist,1,96,0.0,21.94,0
hash,write,txn_hlist,1,128,0.0,23.79,0
hash,write,txn_hlist,1,160,0.0,26.63,0
hash,write,txn_hlist,1,191,0.0,29.46,0
hash,write,txn_hlist,1,192,0.0,29.58,0
hash,write,txn_hlist,2,1,0.0,0.95,0
hash,write,txn_hlist,2,2,0.0,1.94,0
hash,write,txn_hlist,2,4,0.0,3.82,0
hash,write,txn_hlist,2,8,0.0,7.01,0
hash,write,txn_hlist,2,16,0.0,8.52,0
hash,write,txn_hlist,2,32,0.0,12.30,0
hash,write,txn_hlist,2,64,0.0,17.30,0
hash,write,txn_hlist,2,96,0.0,21.64,0
hash,write,txn_hlist,2,128,0.0,23.67,0
hash,write,txn_hlist,2,160,0.0,26.51,0
