pct,engine,run,threads,total_mops,update_mops,read_mops,viol
20,rlu_sync,2,1,1.29,0.26,1.03,0
20,rlu_sync,2,2,2.26,0.45,1.81,0
20,rlu_sync,2,4,4.28,0.86,3.42,0
20,rlu_sync,2,8,7.92,1.58,6.33,0
20,rlu_sync,2,16,9.74,1.95,7.79,0
20,rlu_sync,2,32,12.80,2.56,10.24,0
20,rlu_sync,2,64,16.16,3.23,12.92,0
20,rlu_sync,2,96,18.16,3.63,14.53,0
20,rlu_sync,2,128,16.37,3.27,13.09,0
20,rlu_sync,2,160,15.86,3.17,12.68,0
20,rlu_sync,2,191,15.93,3.19,12.74,0
20,rlu_sync,2,192,15.97,3.20,12.78,0
40,txn_hlist,1,1,1.11,0.45,0.67,0
40,txn_hlist,1,2,2.21,0.88,1.33,0
40,txn_hlist,1,4,4.26,1.70,2.55,0
40,txn_hlist,1,8,7.84,3.14,4.70,0
40,txn_hlist,1,16,10.96,4.38,6.57,0
40,txn_hlist,1,32,17.45,6.98,10.47,0
40,txn_hlist,1,64,26.69,10.68,16.01,0
40,txn_hlist,1,96,33.55,13.42,20.13,0
40,txn_hlist,1,128,36.27,14.51,21.76,0
40,txn_hlist,1,160,40.10,16.04,24.06,0
40,txn_hlist,1,191,43.62,17.45,26.17,0
40,txn_hlist,1,192,43.69,17.48,26.21,0
40,txn_hlist,2,1,1.10,0.44,0.66,0
40,txn_hlist,2,2,2.19,0.88,1.31,0
40,txn_hlist,2,4,4.25,1.70,2.55,0
40,txn_hlist,2,8,7.87,3.15,4.72,0
40,txn_hlist,2,16,11.03,4.41,6.62,0
40,txn_hlist,2,32,17.72,7.09,10.63,0
40,txn_hlist,2,64,26.80,10.72,16.08,0
40,txn_hlist,2,96,33.34,13.34,20.00,0
40,txn_hlist,2,128,36.12,14.45,21.67,0
40,txn_hlist,2,160,39.96,15.99,23.97,0
40,txn_hlist,2,191,43.60,17.44,26.16,0
40,txn_hlist,2,192,43.75,17.50,26.25,0
40,rcu_hlist,1,1,1.21,0.48,0.73,0
40,rcu_hlist,1,2,2.44,0.98,1.46,0
40,rcu_hlist,1,4,4.73,1.89,2.84,0
40,rcu_hlist,1,8,8.94,3.58,5.37,0
40,rcu_hlist,1,16,13.91,5.57,8.35,0
40,rcu_hlist,1,32,22.09,8.84,13.25,0
40,rcu_hlist,1,64,33.20,13.28,19.92,0
40,rcu_hlist,1,96,40.71,16.29,24.43,0
40,rcu_hlist,1,128,44.31,17.72,26.59,0
40,rcu_hlist,1,160,48.43,19.37,29.06,0
40,rcu_hlist,1,191,52.05,20.82,31.23,0
40,rcu_hlist,1,192,52.36,20.95,31.41,0
40,rcu_hlist,2,1,1.21,0.48,0.73,0
40,rcu_hlist,2,2,2.44,0.97,1.46,0
40,rcu_hlist,2,4,4.70,1.88,2.82,0
40,rcu_hlist,2,8,8.88,3.55,5.33,0
40,rcu_hlist,2,16,13.94,5.58,8.36,0
40,rcu_hlist,2,32,22.10,8.84,13.26,0
40,rcu_hlist,2,64,33.10,13.24,19.86,0
40,rcu_hlist,2,96,41.01,16.41,24.60,0
40,rcu_hlist,2,128,44.49,17.79,26.69,0
40,rcu_hlist,2,160,48.11,19.25,28.86,0
40,rcu_hlist,2,191,51.68,20.68,31.01,0
40,rcu_hlist,2,192,51.75,20.70,31.05,0
40,lfht,1,1,1.09,0.44,0.65,0
40,lfht,1,2,2.21,0.88,1.33,0
40,lfht,1,4,4.30,1.72,2.58,0
40,lfht,1,8,8.02,3.21,4.81,0
40,lfht,1,16,12.41,4.96,7.44,0
40,lfht,1,32,20.30,8.12,12.18,0
40,lfht,1,64,31.94,12.78,19.17,0
40,lfht,1,96,39.95,15.98,23.97,0
40,lfht,1,128,44.69,17.87,26.81,0
40,lfht,1,160,49.48,19.79,29.69,0
40,lfht,1,191,54.10,21.64,32.46,0
40,lfht,1,192,54.43,21.77,32.66,0
40,lfht,2,1,1.09,0.43,0.65,0
40,lfht,2,2,2.22,0.89,1.33,0
40,lfht,2,4,4.33,1.73,2.60,0
40,lfht,2,8,8.08,3.23,4.85,0
40,lfht,2,16,12.35,4.94,7.41,0
40,lfht,2,32,20.27,8.11,12.16,0
40,lfht,2,64,31.77,12.71,19.06,0
40,lfht,2,96,40.17,16.07,24.10,0
40,lfht,2,128,44.52,17.81,26.71,0
40,lfht,2,160,49.38,19.75,29.62,0
40,lfht,2,191,53.67,21.47,32.20,0
40,lfht,2,192,53.89,21.56,32.33,0
40,rlu_defer,1,1,1.32,0.53,0.79,0
40,rlu_defer,1,2,2.54,1.02,1.52,0
40,rlu_defer,1,4,4.91,1.97,2.95,0
40,rlu_defer,1,8,9.31,3.72,5.58,0
40,rlu_defer,1,16,11.86,4.75,7.12,0
40,rlu_defer,1,32,16.62,6.65,9.97,0
40,rlu_defer,1,64,22.95,9.18,13.77,0
40,rlu_defer,1,96,26.90,10.76,16.14,0
40,rlu_defer,1,128,24.60,9.84,14.76,0
40,rlu_defer,1,160,25.01,10.00,15.00,0
40,rlu_defer,1,191,25.53,10.21,15.32,0
40,rlu_defer,1,192,25.66,10.27,15.40,0
40,rlu_defer,2,1,1.30,0.52,0.78,0
40,rlu_defer,2,2,2.53,1.01,1.52,0
40,rlu_defer,2,4,4.96,1.98,2.98,0
40,rlu_defer,2,8,9.35,3.74,5.61,0
40,rlu_defer,2,16,11.84,4.74,7.10,0
40,rlu_defer,2,32,16.62,6.65,9.97,0
40,rlu_defer,2,64,22.85,9.14,13.71,0
40,rlu_defer,2,96,27.03,10.81,16.21,0
40,rlu_defer,2,128,24.27,9.71,14.56,0
40,rlu_defer,2,160,24.81,9.93,14.89,0
40,rlu_defer,2,191,25.30,10.12,15.18,0
40,rlu_defer,2,192,25.44,10.18,15.27,0
40,rlu_sync,1,1,1.25,0.50,0.75,0
40,rlu_sync,1,2,2.04,0.82,1.22,0
40,rlu_sync,1,4,3.58,1.43,2.15,0
40,rlu_sync,1,8,6.17,2.47,3.70,0
40,rlu_sync,1,16,6.75,2.70,4.05,0
40,rlu_sync,1,32,8.55,3.42,5.13,0
40,rlu_sync,1,64,11.03,4.41,6.62,0
40,rlu_sync,1,96,12.21,4.88,7.33,0
40,rlu_sync,1,128,10.92,4.37,6.55,0
