sweep,variant,alloc,run,updaters,movesper,ryw,mmoves_s,ns_per_keymove,commits,aborts
width,big128,jemalloc,2,64,8,1,1.66779,38374.1,222612,369227
width,big128,jemalloc,3,64,8,1,1.65675,38629.8,221130,365477
width,big128,jemalloc,1,64,15,1,1.07943,59290.7,72039,172302
width,big128,jemalloc,2,64,15,1,1.12574,56851.5,75129,174676
width,big128,jemalloc,3,64,15,1,1.11665,57314.2,74524,169791
ryw,big128,jemalloc,1,1,1,0,2.20485,453.546,2207205,0
ryw,big128,jemalloc,2,1,1,0,2.20195,454.142,2204355,0
ryw,big128,jemalloc,3,1,1,0,2.22486,449.467,2227260,0
ryw,big128,jemalloc,1,1,1,1,2.01019,497.465,2012385,0
ryw,big128,jemalloc,2,1,1,1,2.02684,493.378,2029050,0
ryw,big128,jemalloc,3,1,1,1,2.01154,497.13,2013735,0
ryw,big128,jemalloc,1,2,1,0,2.46123,812.602,2463915,170553
ryw,big128,jemalloc,2,2,1,0,2.44018,819.612,2442810,165992
ryw,big128,jemalloc,3,2,1,0,2.46486,811.406,2467395,170086
ryw,big128,jemalloc,1,2,1,1,2.3092,866.1,2311710,173868
ryw,big128,jemalloc,2,2,1,1,2.30052,869.368,2302965,169984
ryw,big128,jemalloc,3,2,1,1,2.30552,867.484,2307945,171042
ryw,big128,jemalloc,1,4,1,0,3.06104,1306.74,3064305,342773
ryw,big128,jemalloc,2,4,1,0,3.07917,1299.05,3082500,344878
ryw,big128,jemalloc,3,4,1,0,3.05684,1308.54,3060120,339167
ryw,big128,jemalloc,1,4,1,1,2.90336,1377.72,2906445,342618
ryw,big128,jemalloc,2,4,1,1,2.95864,1351.97,2961750,349191
ryw,big128,jemalloc,3,4,1,1,2.94188,1359.67,2945070,348208
ryw,big128,jemalloc,1,8,1,0,4.04751,1976.53,4051905,577718
ryw,big128,jemalloc,2,8,1,0,4.02608,1987.04,4030485,576237
ryw,big128,jemalloc,3,8,1,0,4.05312,1973.79,4057485,577942
ryw,big128,jemalloc,1,8,1,1,3.96119,2019.59,3965415,594789
ryw,big128,jemalloc,2,8,1,1,3.97306,2013.56,3977295,597928
ryw,big128,jemalloc,3,8,1,1,3.9693,2015.47,3973440,597869
ryw,big128,jemalloc,1,16,1,0,3.3649,4754.96,3368505,552895
ryw,big128,jemalloc,2,16,1,0,3.47851,4599.67,3482115,569891
ryw,big128,jemalloc,3,16,1,0,3.43422,4658.99,3437970,562241
ryw,big128,jemalloc,1,16,1,1,3.36382,4756.5,3367455,567175
ryw,big128,jemalloc,2,16,1,1,3.34055,4789.62,3344190,566285
ryw,big128,jemalloc,3,16,1,1,3.38266,4730.01,3386250,580278
ryw,big128,jemalloc,1,32,1,0,4.16072,7690.98,4165170,739247
ryw,big128,jemalloc,2,32,1,0,4.28542,7467.18,4289910,765721
ryw,big128,jemalloc,3,32,1,0,4.25134,7527.03,4255890,764901
ryw,big128,jemalloc,1,32,1,1,4.25879,7513.87,4261605,778242
ryw,big128,jemalloc,2,32,1,1,4.3006,7440.81,4305300,790933
ryw,big128,jemalloc,3,32,1,1,4.32249,7403.14,4327200,796059
ryw,big128,jemalloc,1,64,1,0,5.65937,11308.7,5664435,1042833
ryw,big128,jemalloc,2,64,1,0,5.46749,11705.5,5473425,1011118
ryw,big128,jemalloc,3,64,1,0,5.50149,11633.2,5507460,1016296
ryw,big128,jemalloc,1,64,1,1,5.69814,11231.7,5704320,1078097
ryw,big128,jemalloc,2,64,1,1,5.52166,11590.7,5527605,1049566
ryw,big128,jemalloc,3,64,1,1,5.70037,11227.3,5706300,1083586
ryw,big128,jemalloc,1,96,1,0,6.47287,14831.1,6479595,1198042
ryw,big128,jemalloc,2,96,1,0,6.44851,14887.2,6455385,1200251
ryw,big128,jemalloc,3,96,1,0,6.39486,15012.1,6395550,1174885
ryw,big128,jemalloc,1,96,1,1,6.42617,14938.9,6428280,1215313
ryw,big128,jemalloc,2,96,1,1,6.4986,14772.4,6505335,1233943
ryw,big128,jemalloc,3,96,1,1,6.44355,14898.6,6450240,1218208
ryw,big128,jemalloc,1,128,1,0,5.70008,22455.8,5701335,1032383
ryw,big128,jemalloc,2,128,1,0,5.87895,21772.6,5885025,1078588
ryw,big128,jemalloc,3,128,1,0,5.83524,21935.7,5841495,1064427
ryw,big128,jemalloc,1,128,1,1,5.90814,21665,5914290,1105991
ryw,big128,jemalloc,2,128,1,1,5.7441,22283.7,5747760,1070386
ryw,big128,jemalloc,3,128,1,1,5.93864,21553.8,5944755,1109241
ryw,big128,jemalloc,1,192,1,0,6.19526,30991.4,6197820,1107763
ryw,big128,jemalloc,2,192,1,0,6.04849,31743.5,6054930,1074280
ryw,big128,jemalloc,3,192,1,0,5.9511,32263,5957355,1055055
ryw,big128,jemalloc,1,192,1,1,5.90884,32493.7,5914965,1063176
ryw,big128,jemalloc,2,192,1,1,6.03487,31815.1,6041130,1092513
ryw,big128,jemalloc,3,192,1,1,6.12148,31365,6127875,1111087
