engine,dirmul,writers,ndirs,mchurn_s,conserved
txn-global,16*writers,96,1536,30.3775,OK
txn-pernode,writers/16,96,6,8.01381,OK
txn-pernode,writers,96,96,81.2383,OK
txn-pernode,16*writers,96,1536,36.0041,OK
txn-mark,writers/16,96,6,7.94931,OK
txn-mark,writers,96,96,81.5722,OK
txn-mark,16*writers,96,1536,35.8313,OK
bucketlock,writers/16,96,6,2.11817,OK
bucketlock,writers,96,96,83.1928,OK
bucketlock,16*writers,96,1536,287.409,OK
seqlock,writers/16,128,8,1.21465,OK
seqlock,writers,128,128,35.0991,OK
seqlock,16*writers,128,2048,355.172,OK
txn-global,writers/16,128,8,8.81729,OK
txn-global,writers,128,128,78.1697,OK
txn-global,16*writers,128,2048,35.6203,OK
txn-pernode,writers/16,128,8,8.66576,OK
txn-pernode,writers,128,128,74.0668,OK
txn-pernode,16*writers,128,2048,32.1465,OK
txn-mark,writers/16,128,8,8.71427,OK
txn-mark,writers,128,128,60.5818,OK
txn-mark,16*writers,128,2048,41.5959,OK
bucketlock,writers/16,128,8,1.61162,OK
bucketlock,writers,128,128,59.7573,OK
bucketlock,16*writers,128,2048,355.862,OK
seqlock,writers/16,160,10,1.28358,OK
seqlock,writers,160,160,39.979,OK
seqlock,16*writers,160,2560,437.888,OK
txn-global,writers/16,160,10,8.81379,OK
txn-global,writers,160,160,52.1639,OK
txn-global,16*writers,160,2560,26.6718,OK
txn-pernode,writers/16,160,10,9.22853,OK
txn-pernode,writers,160,160,48.7646,OK
txn-pernode,16*writers,160,2560,23.3498,OK
txn-mark,writers/16,160,10,8.84747,OK
txn-mark,writers,160,160,62.1199,OK
txn-mark,16*writers,160,2560,24.9335,OK
bucketlock,writers/16,160,10,1.50954,OK
bucketlock,writers,160,160,55.1453,OK
bucketlock,16*writers,160,2560,420.03,OK
seqlock,writers/16,192,12,1.30183,OK
seqlock,writers,192,192,45.8161,OK
seqlock,16*writers,192,3072,500.273,OK
txn-global,writers/16,192,12,9.87089,OK
txn-global,writers,192,192,35.6571,OK
txn-global,16*writers,192,3072,22.2736,OK
txn-pernode,writers/16,192,12,9.8117,OK
txn-pernode,writers,192,192,48.6469,OK
txn-pernode,16*writers,192,3072,22.9177,OK
txn-mark,writers/16,192,12,9.84727,OK
txn-mark,writers,192,192,40.9638,OK
txn-mark,16*writers,192,3072,24.7945,OK
bucketlock,writers/16,192,12,1.42578,OK
bucketlock,writers,192,192,53.1654,OK
bucketlock,16*writers,192,3072,467.732,OK
