arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-mark-w32,lookup,32,8,5,593.64,3.83691,OK
txn-mark-w32,lookup,32,8,6,601.014,3.86471,OK
txn-mark-w32,lookup,32,8,7,612.635,3.82991,OK
txn-mark-w32,lookup,64,8,1,834.108,2.403,OK
txn-mark-w32,lookup,64,8,2,893.669,3.526,OK
txn-mark-w32,lookup,64,8,3,870.131,3.41043,OK
txn-mark-w32,lookup,64,8,4,804.914,2.5827,OK
txn-mark-w32,lookup,64,8,5,917.239,3.46414,OK
txn-mark-w32,lookup,64,8,6,908.778,3.45256,OK
txn-mark-w32,lookup,64,8,7,895.723,3.47079,OK
txn-mark-w32,lookup,128,8,1,1340.19,1.96491,OK
txn-mark-w32,lookup,128,8,2,1307.31,1.95487,OK
txn-mark-w32,lookup,128,8,3,1313.07,1.98295,OK
txn-mark-w32,lookup,128,8,4,1318.1,1.46014,OK
txn-mark-w32,lookup,128,8,5,1320.37,1.4214,OK
txn-mark-w32,lookup,128,8,6,1331.44,1.37495,OK
txn-mark-w32,lookup,128,8,7,1283.23,1.41842,OK
txn-mark-w32,lookup,184,8,1,1565.63,1.68665,OK
txn-mark-w32,lookup,184,8,2,1597.35,1.73586,OK
txn-mark-w32,lookup,184,8,3,1546.37,1.73236,OK
txn-mark-w32,lookup,184,8,4,1606.08,1.79143,OK
txn-mark-w32,lookup,184,8,5,1585.25,1.72993,OK
txn-mark-w32,lookup,184,8,6,1634.21,1.75605,OK
txn-mark-w32,lookup,184,8,7,1584.77,1.71147,OK
txn-mark-w32,readdir,184,8,1,224.244,1787.94,OK
txn-mark-w32,readdir,184,8,2,222.303,1769.13,OK
txn-mark-w32,readdir,184,8,3,219.671,1747.32,OK
txn-mark-w32,readdir,184,8,4,218.936,1742.85,OK
txn-mark-w32,readdir,184,8,5,218.597,1739.55,OK
txn-mark-w32,readdir,184,8,6,219.911,1750.09,OK
txn-mark-w32,readdir,184,8,7,232.004,1850.17,OK
txn-mark-w32-shrink,lookup,8,8,1,191.471,3.46983,OK
txn-mark-w32-shrink,lookup,8,8,2,179.308,2.85672,OK
txn-mark-w32-shrink,lookup,8,8,3,179.314,2.81703,OK
txn-mark-w32-shrink,lookup,8,8,4,179.969,2.83517,OK
txn-mark-w32-shrink,lookup,8,8,5,178.697,2.82573,OK
txn-mark-w32-shrink,lookup,8,8,6,189.227,3.46676,OK
txn-mark-w32-shrink,lookup,8,8,7,177.92,2.8581,OK
txn-mark-w32-shrink,lookup,32,8,1,587.416,3.80748,OK
txn-mark-w32-shrink,lookup,32,8,2,594.49,3.9381,OK
txn-mark-w32-shrink,lookup,32,8,3,598.191,3.98122,OK
txn-mark-w32-shrink,lookup,32,8,4,583.223,3.89848,OK
txn-mark-w32-shrink,lookup,32,8,5,578.755,3.88845,OK
txn-mark-w32-shrink,lookup,32,8,6,609.73,3.95399,OK
txn-mark-w32-shrink,lookup,32,8,7,594.79,4.00445,OK
txn-mark-w32-shrink,lookup,64,8,1,913.668,3.41564,OK
txn-mark-w32-shrink,lookup,64,8,2,880.192,3.4661,OK
txn-mark-w32-shrink,lookup,64,8,3,918.962,3.52052,OK
txn-mark-w32-shrink,lookup,64,8,4,949.292,3.41839,OK
txn-mark-w32-shrink,lookup,64,8,5,900.492,3.39268,OK
txn-mark-w32-shrink,lookup,64,8,6,815.325,2.70263,OK
txn-mark-w32-shrink,lookup,64,8,7,922.676,3.52247,OK
txn-mark-w32-shrink,lookup,128,8,1,1258.91,1.97619,OK
txn-mark-w32-shrink,lookup,128,8,2,1367.17,1.98267,OK
txn-mark-w32-shrink,lookup,128,8,3,1306.33,1.56158,OK
txn-mark-w32-shrink,lookup,128,8,4,1299.3,1.95513,OK
txn-mark-w32-shrink,lookup,128,8,5,1310.62,1.93468,OK
txn-mark-w32-shrink,lookup,128,8,6,1284.53,1.4806,OK
txn-mark-w32-shrink,lookup,128,8,7,1338.5,1.49253,OK
txn-mark-w32-shrink,lookup,184,8,1,1630.89,1.40144,OK
txn-mark-w32-shrink,lookup,184,8,2,1622.55,1.41881,OK
txn-mark-w32-shrink,lookup,184,8,3,1662.01,1.38112,OK
txn-mark-w32-shrink,lookup,184,8,4,1583.21,1.73641,OK
txn-mark-w32-shrink,lookup,184,8,5,1576.47,1.79942,OK
txn-mark-w32-shrink,lookup,184,8,6,1584.03,1.77473,OK
txn-mark-w32-shrink,lookup,184,8,7,1618.51,1.77392,OK
txn-mark-w32-shrink,readdir,184,8,1,242.812,1936.96,OK
txn-mark-w32-shrink,readdir,184,8,2,241.016,1922.88,OK
txn-mark-w32-shrink,readdir,184,8,3,236.675,1882.52,OK
txn-mark-w32-shrink,readdir,184,8,4,236.986,1885.35,OK
txn-mark-w32-shrink,readdir,184,8,5,237.671,1891.62,OK
txn-mark-w32-shrink,readdir,184,8,6,236.305,1880.7,OK
txn-mark-w32-shrink,readdir,184,8,7,236.928,1885.22,OK
bucketlock,lookup,8,8,1,151.299,4.53013,OK
bucketlock,lookup,8,8,2,150.936,4.5687,OK
bucketlock,lookup,8,8,3,148.423,4.56096,OK
bucketlock,lookup,8,8,4,152.907,4.48319,OK
bucketlock,lookup,8,8,5,154.344,4.35176,OK
bucketlock,lookup,8,8,6,154.272,4.42603,OK
bucketlock,lookup,8,8,7,154.515,4.53413,OK
bucketlock,lookup,32,8,1,530.406,5.43483,OK
bucketlock,lookup,32,8,2,499.674,5.25812,OK
bucketlock,lookup,32,8,3,503.587,3.35789,OK
bucketlock,lookup,32,8,4,493.906,3.38328,OK
bucketlock,lookup,32,8,5,485.499,3.29127,OK
bucketlock,lookup,32,8,6,536.48,5.40948,OK
bucketlock,lookup,32,8,7,516.123,5.1972,OK
bucketlock,lookup,64,8,1,812.798,4.70484,OK
bucketlock,lookup,64,8,2,732.494,3.23809,OK
bucketlock,lookup,64,8,3,756.228,3.12211,OK
bucketlock,lookup,64,8,4,777.212,3.10389,OK
bucketlock,lookup,64,8,5,866.837,4.6418,OK
bucketlock,lookup,64,8,6,829.605,4.57455,OK
bucketlock,lookup,64,8,7,849.354,4.51001,OK
bucketlock,lookup,128,8,1,1240.49,2.64187,OK
bucketlock,lookup,128,8,2,1183.52,2.05678,OK
bucketlock,lookup,128,8,3,1222.96,2.00153,OK
bucketlock,lookup,128,8,4,1228.5,2.54005,OK
bucketlock,lookup,128,8,5,1219.59,2.62761,OK
bucketlock,lookup,128,8,6,1160.47,2.07349,OK
bucketlock,lookup,128,8,7,1182.27,1.98269,OK
bucketlock,lookup,184,8,1,1512.23,1.84209,OK
bucketlock,lookup,184,8,2,1435.47,1.86625,OK
bucketlock,lookup,184,8,3,1416.69,2.20167,OK
bucketlock,lookup,184,8,4,1537.41,2.17807,OK
bucketlock,lookup,184,8,5,1471.98,2.13131,OK
bucketlock,lookup,184,8,6,1574.38,1.83548,OK
bucketlock,lookup,184,8,7,1448.34,2.26301,OK
bucketlock,readdir,184,8,1,241.781,1911.25,OK
bucketlock,readdir,184,8,2,232.718,1840.33,OK
bucketlock,readdir,184,8,3,217.756,1717.03,OK
bucketlock,readdir,184,8,4,239.642,1892.65,OK
bucketlock,readdir,184,8,5,221.962,1750.8,OK
bucketlock,readdir,184,8,6,221.355,1744.54,OK
bucketlock,readdir,184,8,7,221.855,1749.12,OK
bucketlock-w32,lookup,8,8,1,160.525,5.96508,OK
bucketlock-w32,lookup,8,8,2,161.993,5.63078,OK
bucketlock-w32,lookup,8,8,3,160.967,5.92566,OK
bucketlock-w32,lookup,8,8,4,154.789,4.5432,OK
bucketlock-w32,lookup,8,8,5,145.641,4.59436,OK
bucketlock-w32,lookup,8,8,6,156.175,4.41089,OK
bucketlock-w32,lookup,8,8,7,149.469,4.56706,OK
bucketlock-w32,lookup,32,8,1,515.522,3.22207,OK
bucketlock-w32,lookup,32,8,2,501.297,3.31284,OK
bucketlock-w32,lookup,32,8,3,478.252,3.43216,OK
bucketlock-w32,lookup,32,8,4,500.344,3.40268,OK
bucketlock-w32,lookup,32,8,5,482.727,5.19064,OK
