arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-mark-w32,lookup,32,8,5,588.847,4.2484,OK
txn-mark-w32,lookup,32,8,6,557.71,4.10079,OK
txn-mark-w32,lookup,32,8,7,562.591,2.17616,OK
txn-mark-w32,lookup,64,8,1,780.78,2.32779,OK
txn-mark-w32,lookup,64,8,2,833.046,2.63823,OK
txn-mark-w32,lookup,64,8,3,906.47,3.69037,OK
txn-mark-w32,lookup,64,8,4,896.359,3.71049,OK
txn-mark-w32,lookup,64,8,5,864.857,3.69211,OK
txn-mark-w32,lookup,64,8,6,822.832,2.50006,OK
txn-mark-w32,lookup,64,8,7,824.264,2.52321,OK
txn-mark-w32,lookup,128,8,1,1278.12,1.39393,OK
txn-mark-w32,lookup,128,8,2,1321.66,1.41007,OK
txn-mark-w32,lookup,128,8,3,1344.79,1.42856,OK
txn-mark-w32,lookup,128,8,4,1282.28,2.01318,OK
txn-mark-w32,lookup,128,8,5,1324.62,1.44197,OK
txn-mark-w32,lookup,128,8,6,1338.82,1.40493,OK
txn-mark-w32,lookup,128,8,7,1350.79,1.42573,OK
txn-mark-w32,lookup,184,8,1,1599.39,1.77773,OK
txn-mark-w32,lookup,184,8,2,1604.54,1.79215,OK
txn-mark-w32,lookup,184,8,3,1630.15,1.79552,OK
txn-mark-w32,lookup,184,8,4,1572.97,1.80145,OK
txn-mark-w32,lookup,184,8,5,1620.58,1.78665,OK
txn-mark-w32,lookup,184,8,6,1655.63,1.81273,OK
txn-mark-w32,lookup,184,8,7,1604.43,1.76234,OK
txn-mark-w32,readdir,184,8,1,206.866,1649.82,OK
txn-mark-w32,readdir,184,8,2,205.694,1640.37,OK
txn-mark-w32,readdir,184,8,3,210.793,1678.51,OK
txn-mark-w32,readdir,184,8,4,209.642,1669.04,OK
txn-mark-w32,readdir,184,8,5,210.202,1673.62,OK
txn-mark-w32,readdir,184,8,6,210.787,1678.16,OK
txn-mark-w32,readdir,184,8,7,210.361,1675.13,OK
txn-mark-w32-shrink,lookup,8,8,1,186.939,3.82141,OK
txn-mark-w32-shrink,lookup,8,8,2,190.325,3.75303,OK
txn-mark-w32-shrink,lookup,8,8,3,171.048,3.92085,OK
txn-mark-w32-shrink,lookup,8,8,4,178.226,3.92452,OK
txn-mark-w32-shrink,lookup,8,8,5,177.346,3.86649,OK
txn-mark-w32-shrink,lookup,8,8,6,185.982,3.90281,OK
txn-mark-w32-shrink,lookup,8,8,7,186.625,3.82008,OK
txn-mark-w32-shrink,lookup,32,8,1,578.607,4.27586,OK
txn-mark-w32-shrink,lookup,32,8,2,567.77,4.17303,OK
txn-mark-w32-shrink,lookup,32,8,3,567.153,4.35289,OK
txn-mark-w32-shrink,lookup,32,8,4,589.402,4.31281,OK
txn-mark-w32-shrink,lookup,32,8,5,562.948,4.31056,OK
txn-mark-w32-shrink,lookup,32,8,6,596.117,4.16745,OK
txn-mark-w32-shrink,lookup,32,8,7,534.158,4.31896,OK
txn-mark-w32-shrink,lookup,64,8,1,863.622,3.72382,OK
txn-mark-w32-shrink,lookup,64,8,2,857.854,3.7368,OK
txn-mark-w32-shrink,lookup,64,8,3,851.127,3.72834,OK
txn-mark-w32-shrink,lookup,64,8,4,892.241,3.72431,OK
txn-mark-w32-shrink,lookup,64,8,5,903.944,3.73989,OK
txn-mark-w32-shrink,lookup,64,8,6,791.004,2.41565,OK
txn-mark-w32-shrink,lookup,64,8,7,779.336,2.66138,OK
txn-mark-w32-shrink,lookup,128,8,1,1262.55,1.49052,OK
txn-mark-w32-shrink,lookup,128,8,2,1306.5,1.45374,OK
txn-mark-w32-shrink,lookup,128,8,3,1295.23,1.48243,OK
txn-mark-w32-shrink,lookup,128,8,4,1290.52,2.01823,OK
txn-mark-w32-shrink,lookup,128,8,5,1334.85,2.00616,OK
txn-mark-w32-shrink,lookup,128,8,6,1288.32,2.02099,OK
txn-mark-w32-shrink,lookup,128,8,7,1319.77,2.03808,OK
