panel,alloc,engine,run,cores,nreaders,b,keys_per_sl,width,mmoves_s,ns_per_keymove,mqueries_s,hitpct
grow,jemalloc,txn-mp3,3,128,0,5,640,3,17.4622,7330.1,0,0
grow,jemalloc,txn-mp1,1,128,0,5,640,1,24.7254,5176.86,0,0
grow,jemalloc,txn-mp1,2,128,0,5,640,1,24.6831,5185.74,0,0
grow,jemalloc,txn-mp1,3,128,0,5,640,1,24.7947,5162.4,0,0
grow,jemalloc,existence,1,192,0,5,960,3,51.0159,3763.53,0,0
grow,jemalloc,existence,2,192,0,5,960,3,50.9029,3771.88,0,0
grow,jemalloc,existence,3,192,0,5,960,3,50.8371,3776.77,0,0
grow,jemalloc,txn-mp3,1,192,0,5,960,3,19.714,9739.27,0,0
grow,jemalloc,txn-mp3,2,192,0,5,960,3,19.5689,9811.48,0,0
grow,jemalloc,txn-mp3,3,192,0,5,960,3,19.6718,9760.17,0,0
grow,jemalloc,txn-mp1,1,192,0,5,960,1,28.1849,6812.15,0,0
grow,jemalloc,txn-mp1,2,192,0,5,960,1,28.0722,6839.5,0,0
grow,jemalloc,txn-mp1,3,192,0,5,960,1,28.1532,6819.83,0,0
fixed,jemalloc,existence,1,1,0,3840,3840,3,2.32455,430.191,0,0
fixed,jemalloc,existence,2,1,0,3840,3840,3,2.313,432.34,0,0
fixed,jemalloc,existence,3,1,0,3840,3840,3,2.32457,430.188,0,0
fixed,jemalloc,txn-mp3,1,1,0,3840,3840,3,1.28887,775.874,0,0
fixed,jemalloc,txn-mp3,2,1,0,3840,3840,3,1.28885,775.885,0,0
fixed,jemalloc,txn-mp3,3,1,0,3840,3840,3,1.30037,769.014,0,0
fixed,jemalloc,txn-mp1,1,1,0,3840,3840,1,2.12891,469.725,0,0
fixed,jemalloc,txn-mp1,2,1,0,3840,3840,1,2.11739,472.28,0,0
fixed,jemalloc,txn-mp1,3,1,0,3840,3840,1,2.10589,474.859,0,0
fixed,glibc,existence,1,1,0,3840,3840,3,2.17494,459.783,0,0
fixed,glibc,existence,2,1,0,3840,3840,3,2.20946,452.6,0,0
fixed,glibc,existence,3,1,0,3840,3840,3,2.2095,452.591,0,0
fixed,glibc,txn-mp3,1,1,0,3840,3840,3,1.25434,797.233,0,0
fixed,glibc,txn-mp3,2,1,0,3840,3840,3,1.25433,797.239,0,0
fixed,glibc,txn-mp3,3,1,0,3840,3840,3,1.25432,797.244,0,0
fixed,glibc,txn-mp1,1,1,0,3840,3840,1,1.9908,502.309,0,0
fixed,glibc,txn-mp1,2,1,0,3840,3840,1,1.9793,505.23,0,0
fixed,glibc,txn-mp1,3,1,0,3840,3840,1,1.96779,508.183,0,0
fixed,jemalloc,existence,1,2,0,1920,3840,3,3.04374,657.087,0,0
fixed,jemalloc,existence,2,2,0,1920,3840,3,3.10128,644.895,0,0
fixed,jemalloc,existence,3,2,0,1920,3840,3,3.05524,654.614,0,0
fixed,jemalloc,txn-mp3,1,2,0,1920,3840,3,2.54891,784.65,0,0
fixed,jemalloc,txn-mp3,2,2,0,1920,3840,3,2.5489,784.651,0,0
fixed,jemalloc,txn-mp3,3,2,0,1920,3840,3,2.55465,782.886,0,0
fixed,jemalloc,txn-mp1,1,2,0,1920,3840,1,3.8435,520.359,0,0
fixed,jemalloc,txn-mp1,2,2,0,1920,3840,1,3.81473,524.284,0,0
fixed,jemalloc,txn-mp1,3,2,0,1920,3840,1,3.82047,523.496,0,0
fixed,glibc,existence,1,2,0,1920,3840,3,2.82503,707.958,0,0
fixed,glibc,existence,2,2,0,1920,3840,3,2.83659,705.072,0,0
fixed,glibc,existence,3,2,0,1920,3840,3,2.95743,676.262,0,0
fixed,glibc,txn-mp3,1,2,0,1920,3840,3,2.46267,812.126,0,0
fixed,glibc,txn-mp3,2,2,0,1920,3840,3,2.49137,802.771,0,0
fixed,glibc,txn-mp3,3,2,0,1920,3840,3,2.47988,806.491,0,0
fixed,glibc,txn-mp1,1,2,0,1920,3840,1,3.60184,555.271,0,0
fixed,glibc,txn-mp1,2,2,0,1920,3840,1,3.59032,557.054,0,0
fixed,glibc,txn-mp1,3,2,0,1920,3840,1,3.59037,557.046,0,0
fixed,jemalloc,existence,1,4,0,960,3840,3,6.0788,658.024,0,0
fixed,jemalloc,existence,2,4,0,960,3840,3,6.14502,650.933,0,0
fixed,jemalloc,existence,3,4,0,960,3840,3,6.27452,637.499,0,0
fixed,jemalloc,txn-mp3,1,4,0,960,3840,3,4.95979,806.485,0,0
fixed,jemalloc,txn-mp3,2,4,0,960,3840,3,4.96402,805.798,0,0
fixed,jemalloc,txn-mp3,3,4,0,960,3840,3,4.94256,809.297,0,0
fixed,jemalloc,txn-mp1,1,4,0,960,3840,1,6.43285,621.808,0,0
fixed,jemalloc,txn-mp1,2,4,0,960,3840,1,6.80694,587.636,0,0
fixed,jemalloc,txn-mp1,3,4,0,960,3840,1,6.57968,607.933,0,0
fixed,glibc,existence,1,4,0,960,3840,3,5.35689,746.702,0,0
fixed,glibc,existence,2,4,0,960,3840,3,5.49803,727.534,0,0
fixed,glibc,existence,3,4,0,960,3840,3,5.48928,728.694,0,0
fixed,glibc,txn-mp3,1,4,0,960,3840,3,4.76427,839.583,0,0
fixed,glibc,txn-mp3,2,4,0,960,3840,3,4.76714,839.078,0,0
fixed,glibc,txn-mp3,3,4,0,960,3840,3,4.77292,838.061,0,0
fixed,glibc,txn-mp1,1,4,0,960,3840,1,6.52788,612.757,0,0
fixed,glibc,txn-mp1,2,4,0,960,3840,1,6.50775,614.652,0,0
fixed,glibc,txn-mp1,3,4,0,960,3840,1,6.40429,624.581,0,0
fixed,jemalloc,existence,1,8,0,480,3840,3,12.39,645.681,0,0
fixed,jemalloc,existence,2,8,0,480,3840,3,12.3165,649.537,0,0
fixed,jemalloc,existence,3,8,0,480,3840,3,12.3439,648.096,0,0
fixed,jemalloc,txn-mp3,1,8,0,480,3840,3,9.60221,833.142,0,0
fixed,jemalloc,txn-mp3,2,8,0,480,3840,3,9.60999,832.467,0,0
fixed,jemalloc,txn-mp3,3,8,0,480,3840,3,9.61672,831.884,0,0
fixed,jemalloc,txn-mp1,1,8,0,480,3840,1,12.2264,654.32,0,0
fixed,jemalloc,txn-mp1,2,8,0,480,3840,1,11.9584,668.983,0,0
fixed,jemalloc,txn-mp1,3,8,0,480,3840,1,11.9079,671.821,0,0
fixed,glibc,existence,1,8,0,480,3840,3,11.15,717.49,0,0
fixed,glibc,existence,2,8,0,480,3840,3,10.9571,730.122,0,0
fixed,glibc,existence,3,8,0,480,3840,3,11.1025,720.562,0,0
fixed,glibc,txn-mp3,1,8,0,480,3840,3,9.24395,865.431,0,0
fixed,glibc,txn-mp3,2,8,0,480,3840,3,9.22417,867.287,0,0
fixed,glibc,txn-mp3,3,8,0,480,3840,3,9.22588,867.126,0,0
fixed,glibc,txn-mp1,1,8,0,480,3840,1,11.1957,714.558,0,0
fixed,glibc,txn-mp1,2,8,0,480,3840,1,11.1734,715.983,0,0
fixed,glibc,txn-mp1,3,8,0,480,3840,1,11.1196,719.451,0,0
fixed,jemalloc,existence,1,16,0,240,3840,3,22.742,703.543,0,0
fixed,jemalloc,existence,2,16,0,240,3840,3,22.4558,712.51,0,0
fixed,jemalloc,existence,3,16,0,240,3840,3,22.6351,706.866,0,0
fixed,jemalloc,txn-mp3,1,16,0,240,3840,3,17.332,923.148,0,0
fixed,jemalloc,txn-mp3,2,16,0,240,3840,3,17.3386,922.799,0,0
fixed,jemalloc,txn-mp3,3,16,0,240,3840,3,17.3046,924.608,0,0
fixed,jemalloc,txn-mp1,1,16,0,240,3840,1,21.3165,750.592,0,0
fixed,jemalloc,txn-mp1,2,16,0,240,3840,1,21.0312,760.775,0,0
fixed,jemalloc,txn-mp1,3,16,0,240,3840,1,21.1611,756.105,0,0
fixed,glibc,existence,1,16,0,240,3840,3,19.366,826.189,0,0
fixed,glibc,existence,2,16,0,240,3840,3,19.4352,823.247,0,0
fixed,glibc,existence,3,16,0,240,3840,3,19.7838,808.743,0,0
fixed,glibc,txn-mp3,1,16,0,240,3840,3,16.8387,950.195,0,0
fixed,glibc,txn-mp3,2,16,0,240,3840,3,16.8436,949.914,0,0
fixed,glibc,txn-mp3,3,16,0,240,3840,3,16.8846,947.607,0,0
fixed,glibc,txn-mp1,1,16,0,240,3840,1,19.7078,811.863,0,0
fixed,glibc,txn-mp1,2,16,0,240,3840,1,19.8558,805.812,0,0
fixed,glibc,txn-mp1,3,16,0,240,3840,1,19.8321,806.771,0,0
fixed,jemalloc,existence,1,32,0,120,3840,3,39.4894,810.343,0,0
fixed,jemalloc,existence,2,32,0,120,3840,3,39.6773,806.507,0,0
fixed,jemalloc,existence,3,32,0,120,3840,3,39.2617,815.043,0,0
fixed,jemalloc,txn-mp3,1,32,0,120,3840,3,28.9166,1106.63,0,0
fixed,jemalloc,txn-mp3,2,32,0,120,3840,3,28.9679,1104.67,0,0
fixed,jemalloc,txn-mp3,3,32,0,120,3840,3,28.8924,1107.56,0,0
fixed,jemalloc,txn-mp1,1,32,0,120,3840,1,33.977,941.815,0,0
fixed,jemalloc,txn-mp1,2,32,0,120,3840,1,33.823,946.102,0,0
fixed,jemalloc,txn-mp1,3,32,0,120,3840,1,33.7889,947.056,0,0
fixed,glibc,existence,1,32,0,120,3840,3,32.4201,987.042,0,0
fixed,glibc,existence,2,32,0,120,3840,3,32.4903,984.91,0,0
