panel,arm,cores,b,keys_per_sl,run,mmoves_s,ns_per_keymove,status
lane,pin-sole,128,30,3840,5,43.3874,2950.16,ok
lane,pin-serial,128,30,3840,1,0.0447745,2.85877e+06,ok
lane,pin-serial,128,30,3840,2,0.0448195,2.8559e+06,ok
lane,pin-serial,128,30,3840,3,0.0460316,2.7807e+06,ok
lane,pin-serial,128,30,3840,4,0.0460326,2.78064e+06,ok
lane,pin-serial,128,30,3840,5,0.0402791,3.17783e+06,ok
lane,pin-sole,192,20,3840,1,42.0446,4566.57,ok
lane,pin-sole,192,20,3840,2,42.0492,4566.08,ok
lane,pin-sole,192,20,3840,3,42.0418,4566.89,ok
lane,pin-sole,192,20,3840,4,42.0311,4568.05,ok
lane,pin-sole,192,20,3840,5,42.1715,4552.84,ok
lane,pin-serial,192,20,3840,1,0.0402788,4.76678e+06,ok
lane,pin-serial,192,20,3840,2,0.0402787,4.76679e+06,ok
lane,pin-serial,192,20,3840,3,0.0402791,4.76674e+06,ok
lane,pin-serial,192,20,3840,4,0.0402785,4.76681e+06,ok
lane,pin-serial,192,20,3840,5,0.0403194,4.76198e+06,ok
