engine,dirmul,writers,ndirs,mchurn_s,conserved
txn-pernode,writers/16,96,6,9.65469,OK
txn-pernode,writers,96,96,103.445,OK
txn-pernode,16*writers,96,1536,218.974,OK
txn-mark,writers/16,96,6,9.70685,OK
txn-mark,writers,96,96,104.179,OK
txn-mark,16*writers,96,1536,214.111,OK
bucketlock,writers/16,96,6,1.54305,OK
bucketlock,writers,96,96,83.5406,OK
bucketlock,16*writers,96,1536,264.534,OK
seqlock,writers/16,128,8,1.226,OK
seqlock,writers,128,128,37.3777,OK
seqlock,16*writers,128,2048,370.72,OK
txn-global,writers/16,128,8,8.68499,OK
txn-global,writers,128,128,115.655,OK
txn-global,16*writers,128,2048,268.006,OK
txn-pernode,writers/16,128,8,8.68803,OK
txn-pernode,writers,128,128,114.635,OK
txn-pernode,16*writers,128,2048,258.556,OK
txn-mark,writers/16,128,8,7.85886,OK
txn-mark,writers,128,128,110.916,OK
txn-mark,16*writers,128,2048,253.295,OK
bucketlock,writers/16,128,8,1.62189,OK
bucketlock,writers,128,128,59.434,OK
bucketlock,16*writers,128,2048,340.772,OK
seqlock,writers/16,160,10,1.29626,OK
seqlock,writers,160,160,41.4604,OK
seqlock,16*writers,160,2560,440.031,OK
txn-global,writers/16,160,10,8.9721,OK
txn-global,writers,160,160,132.212,OK
txn-global,16*writers,160,2560,315.254,OK
txn-pernode,writers/16,160,10,8.89623,OK
txn-pernode,writers,160,160,133.182,OK
txn-pernode,16*writers,160,2560,313.783,OK
txn-mark,writers/16,160,10,9.25114,OK
txn-mark,writers,160,160,131.939,OK
txn-mark,16*writers,160,2560,304.151,OK
bucketlock,writers/16,160,10,1.43486,OK
bucketlock,writers,160,160,55.0259,OK
bucketlock,16*writers,160,2560,414.269,OK
seqlock,writers/16,192,12,1.3192,OK
seqlock,writers,192,192,46.4389,OK
seqlock,16*writers,192,3072,501.292,OK
txn-global,writers/16,192,12,9.85814,OK
txn-global,writers,192,192,153.95,OK
txn-global,16*writers,192,3072,349.483,OK
txn-pernode,writers/16,192,12,9.98644,OK
txn-pernode,writers,192,192,153.018,OK
txn-pernode,16*writers,192,3072,350.304,OK
txn-mark,writers/16,192,12,9.83457,OK
txn-mark,writers,192,192,153.885,OK
txn-mark,16*writers,192,3072,344.149,OK
bucketlock,writers/16,192,12,1.35289,OK
bucketlock,writers,192,192,53.1643,OK
bucketlock,16*writers,192,3072,469.069,OK
