arm,panel,readers,writers,run,mlookups_s,mrenames_s,conserved
txn-mark-w32,lookup,32,8,5,587.107,4.18073,OK
txn-mark-w32,lookup,32,8,6,569.103,2.19172,OK
txn-mark-w32,lookup,32,8,7,548.57,2.23316,OK
txn-mark-w32,lookup,64,8,1,831.129,2.57669,OK
txn-mark-w32,lookup,64,8,2,822.305,2.57859,OK
txn-mark-w32,lookup,64,8,3,826.458,2.67442,OK
txn-mark-w32,lookup,64,8,4,829.31,2.56673,OK
txn-mark-w32,lookup,64,8,5,808.465,2.51499,OK
txn-mark-w32,lookup,64,8,6,814.261,2.40818,OK
txn-mark-w32,lookup,64,8,7,822.936,2.71609,OK
txn-mark-w32,lookup,128,8,1,1320.98,1.39868,OK
txn-mark-w32,lookup,128,8,2,1345.32,1.41624,OK
txn-mark-w32,lookup,128,8,3,1293.48,2.04636,OK
txn-mark-w32,lookup,128,8,4,1261.89,1.97331,OK
txn-mark-w32,lookup,128,8,5,1283.04,1.46959,OK
txn-mark-w32,lookup,128,8,6,1346.64,1.40093,OK
txn-mark-w32,lookup,128,8,7,1320.3,1.42025,OK
txn-mark-w32,lookup,184,8,1,1613.88,1.70594,OK
txn-mark-w32,lookup,184,8,2,1642.49,1.74504,OK
txn-mark-w32,lookup,184,8,3,1584.95,1.7519,OK
txn-mark-w32,lookup,184,8,4,1660.62,1.58037,OK
txn-mark-w32,lookup,184,8,5,1604.23,1.77952,OK
txn-mark-w32,lookup,184,8,6,1623.99,1.72662,OK
txn-mark-w32,lookup,184,8,7,1602.11,1.79819,OK
txn-mark-w32,readdir,184,8,1,199.32,1590.69,OK
txn-mark-w32,readdir,184,8,2,197.751,1577.91,OK
txn-mark-w32,readdir,184,8,3,202.415,1611.75,OK
txn-mark-w32,readdir,184,8,4,202.632,1616.12,OK
txn-mark-w32,readdir,184,8,5,199.411,1591.19,OK
txn-mark-w32,readdir,184,8,6,202.754,1614.77,OK
txn-mark-w32,readdir,184,8,7,202.227,1611.09,OK
txn-mark-w32-shrink,lookup,8,8,1,185.575,3.96153,OK
txn-mark-w32-shrink,lookup,8,8,2,181.863,3.93377,OK
txn-mark-w32-shrink,lookup,8,8,3,184.049,3.93373,OK
txn-mark-w32-shrink,lookup,8,8,4,188.47,3.90515,OK
txn-mark-w32-shrink,lookup,8,8,5,185.211,3.97151,OK
txn-mark-w32-shrink,lookup,8,8,6,191.494,3.74453,OK
txn-mark-w32-shrink,lookup,8,8,7,176.428,2.99141,OK
txn-mark-w32-shrink,lookup,32,8,1,568.767,2.31312,OK
txn-mark-w32-shrink,lookup,32,8,2,541.884,2.34832,OK
txn-mark-w32-shrink,lookup,32,8,3,569.499,4.07608,OK
txn-mark-w32-shrink,lookup,32,8,4,558.76,4.18381,OK
txn-mark-w32-shrink,lookup,32,8,5,553.671,4.22923,OK
txn-mark-w32-shrink,lookup,32,8,6,562.164,4.31624,OK
txn-mark-w32-shrink,lookup,32,8,7,571.928,4.30727,OK
txn-mark-w32-shrink,lookup,64,8,1,833.218,2.68552,OK
txn-mark-w32-shrink,lookup,64,8,2,821.838,2.54208,OK
txn-mark-w32-shrink,lookup,64,8,3,875.314,3.77699,OK
txn-mark-w32-shrink,lookup,64,8,4,903.793,3.70845,OK
txn-mark-w32-shrink,lookup,64,8,5,849.148,3.7639,OK
txn-mark-w32-shrink,lookup,64,8,6,897.6,3.7662,OK
txn-mark-w32-shrink,lookup,64,8,7,874.523,3.78842,OK
txn-mark-w32-shrink,lookup,128,8,1,1293.79,2.0133,OK
txn-mark-w32-shrink,lookup,128,8,2,1256.61,1.97799,OK
txn-mark-w32-shrink,lookup,128,8,3,1268.29,1.97512,OK
txn-mark-w32-shrink,lookup,128,8,4,1277.14,2.02688,OK
txn-mark-w32-shrink,lookup,128,8,5,1312.35,2.02331,OK
txn-mark-w32-shrink,lookup,128,8,6,1333.98,1.52581,OK
txn-mark-w32-shrink,lookup,128,8,7,1257.59,1.46503,OK
txn-mark-w32-shrink,lookup,184,8,1,1631.21,1.3985,OK
txn-mark-w32-shrink,lookup,184,8,2,1534.35,1.78288,OK
txn-mark-w32-shrink,lookup,184,8,3,1632.13,1.43373,OK
txn-mark-w32-shrink,lookup,184,8,4,1653.48,1.38622,OK
txn-mark-w32-shrink,lookup,184,8,5,1633.52,1.41191,OK
txn-mark-w32-shrink,lookup,184,8,6,1648.84,1.3786,OK
txn-mark-w32-shrink,lookup,184,8,7,1601.68,1.38903,OK
txn-mark-w32-shrink,readdir,184,8,1,217.707,1736.85,OK
txn-mark-w32-shrink,readdir,184,8,2,215.661,1721.68,OK
txn-mark-w32-shrink,readdir,184,8,3,217.753,1734.46,OK
txn-mark-w32-shrink,readdir,184,8,4,217.024,1730.49,OK
txn-mark-w32-shrink,readdir,184,8,5,214.061,1708.13,OK
txn-mark-w32-shrink,readdir,184,8,6,217.335,1730.71,OK
txn-mark-w32-shrink,readdir,184,8,7,217.962,1736.15,OK
bucketlock,lookup,8,8,1,153.565,4.55059,OK
bucketlock,lookup,8,8,2,161.852,5.98619,OK
bucketlock,lookup,8,8,3,156.77,6.10184,OK
bucketlock,lookup,8,8,4,161.615,5.92894,OK
bucketlock,lookup,8,8,5,156.368,6.05082,OK
bucketlock,lookup,8,8,6,161.908,5.99602,OK
bucketlock,lookup,8,8,7,159.871,6.05151,OK
bucketlock,lookup,32,8,1,493.968,3.36942,OK
bucketlock,lookup,32,8,2,517.126,5.56207,OK
bucketlock,lookup,32,8,3,499.332,5.09913,OK
bucketlock,lookup,32,8,4,523.99,5.42236,OK
bucketlock,lookup,32,8,5,543.302,5.30136,OK
bucketlock,lookup,32,8,6,510.528,5.36613,OK
bucketlock,lookup,32,8,7,537.055,5.29769,OK
bucketlock,lookup,64,8,1,835.075,4.92719,OK
bucketlock,lookup,64,8,2,833.816,4.87013,OK
bucketlock,lookup,64,8,3,741.607,3.22288,OK
bucketlock,lookup,64,8,4,783.493,3.10702,OK
bucketlock,lookup,64,8,5,773.292,3.14905,OK
bucketlock,lookup,64,8,6,830.585,4.78278,OK
bucketlock,lookup,64,8,7,849.834,4.75567,OK
bucketlock,lookup,128,8,1,1157.38,2.66583,OK
bucketlock,lookup,128,8,2,1227.64,2.74426,OK
bucketlock,lookup,128,8,3,1206.3,2.5107,OK
bucketlock,lookup,128,8,4,1234.43,2.02203,OK
bucketlock,lookup,128,8,5,1229.52,2.73162,OK
bucketlock,lookup,128,8,6,1143.5,2.66718,OK
bucketlock,lookup,128,8,7,1212.2,2.11385,OK
bucketlock,lookup,184,8,1,1490.41,2.25471,OK
bucketlock,lookup,184,8,2,1321.49,2.13888,OK
bucketlock,lookup,184,8,3,1460.66,2.16426,OK
bucketlock,lookup,184,8,4,1428.43,2.23785,OK
bucketlock,lookup,184,8,5,1428.98,2.26933,OK
bucketlock,lookup,184,8,6,1502.19,2.24785,OK
bucketlock,lookup,184,8,7,1495.21,2.2758,OK
bucketlock,readdir,184,8,1,250.722,1984.7,OK
bucketlock,readdir,184,8,2,244.536,1935.15,OK
bucketlock,readdir,184,8,3,219.223,1727.75,OK
bucketlock,readdir,184,8,4,221.325,1744.98,OK
bucketlock,readdir,184,8,5,216.191,1703.65,OK
bucketlock,readdir,184,8,6,223.267,1760.47,OK
bucketlock,readdir,184,8,7,213.703,1684.13,OK
bucketlock-w32,lookup,8,8,1,150.012,4.71695,OK
bucketlock-w32,lookup,8,8,2,151.71,4.68358,OK
bucketlock-w32,lookup,8,8,3,152.626,4.68747,OK
bucketlock-w32,lookup,8,8,4,151.473,4.75153,OK
bucketlock-w32,lookup,8,8,5,151.83,4.73812,OK
bucketlock-w32,lookup,8,8,6,151.784,4.59927,OK
bucketlock-w32,lookup,8,8,7,161.685,6.09242,OK
bucketlock-w32,lookup,32,8,1,523.066,5.39777,OK
bucketlock-w32,lookup,32,8,2,517.3,5.62437,OK
bucketlock-w32,lookup,32,8,3,528.002,5.40113,OK
bucketlock-w32,lookup,32,8,4,533.568,5.63844,OK
bucketlock-w32,lookup,32,8,5,508.116,5.63106,OK
bucketlock-w32,lookup,32,8,6,519.916,5.54872,OK
bucketlock-w32,lookup,32,8,7,517.466,5.82049,OK
bucketlock-w32,lookup,64,8,1,807.076,4.92462,OK
bucketlock-w32,lookup,64,8,2,849.598,4.93266,OK
bucketlock-w32,lookup,64,8,3,756.821,3.18473,OK
bucketlock-w32,lookup,64,8,4,769.937,3.17417,OK
bucketlock-w32,lookup,64,8,5,811.955,4.97821,OK
bucketlock-w32,lookup,64,8,6,841.158,4.79746,OK
bucketlock-w32,lookup,64,8,7,850.633,4.83791,OK
bucketlock-w32,lookup,128,8,1,1145.76,2.83501,OK
bucketlock-w32,lookup,128,8,2,1202.44,2.68626,OK
bucketlock-w32,lookup,128,8,3,1193.4,2.15345,OK
bucketlock-w32,lookup,128,8,4,1170.82,2.05638,OK
bucketlock-w32,lookup,128,8,5,1172.68,1.99841,OK
bucketlock-w32,lookup,128,8,6,1208.41,1.98102,OK
bucketlock-w32,lookup,128,8,7,1190.15,2.75311,OK
bucketlock-w32,lookup,184,8,1,1416.81,2.21291,OK
bucketlock-w32,lookup,184,8,2,1466.84,2.01545,OK
bucketlock-w32,lookup,184,8,3,1484.92,1.93457,OK
bucketlock-w32,lookup,184,8,4,1537.89,1.81126,OK
bucketlock-w32,lookup,184,8,5,1502.77,1.91278,OK
bucketlock-w32,lookup,184,8,6,1542.18,1.88096,OK
bucketlock-w32,lookup,184,8,7,1448.22,1.92736,OK
bucketlock-w32,readdir,184,8,1,224.71,1772.75,OK
bucketlock-w32,readdir,184,8,2,224.491,1769.12,OK
bucketlock-w32,readdir,184,8,3,216.834,1707.57,OK
bucketlock-w32,readdir,184,8,4,259.957,2058.33,OK
bucketlock-w32,readdir,184,8,5,216.707,1708.54,OK
bucketlock-w32,readdir,184,8,6,244.53,1932.49,OK
bucketlock-w32,readdir,184,8,7,239.791,1895.36,OK
bucketlock-w32-shrink,lookup,8,8,1,154.803,6.18717,OK
bucketlock-w32-shrink,lookup,8,8,2,156.875,6.17547,OK
bucketlock-w32-shrink,lookup,8,8,3,157.771,6.04923,OK
bucketlock-w32-shrink,lookup,8,8,4,155.76,5.98758,OK
bucketlock-w32-shrink,lookup,8,8,5,154.386,6.11639,OK
bucketlock-w32-shrink,lookup,8,8,6,153.556,6.00913,OK
bucketlock-w32-shrink,lookup,8,8,7,149.965,4.44958,OK
bucketlock-w32-shrink,lookup,32,8,1,505.105,5.45681,OK
bucketlock-w32-shrink,lookup,32,8,2,473.298,5.4112,OK
bucketlock-w32-shrink,lookup,32,8,3,512.318,5.12545,OK
bucketlock-w32-shrink,lookup,32,8,4,437.012,3.6118,OK
bucketlock-w32-shrink,lookup,32,8,5,470.494,3.47027,OK
bucketlock-w32-shrink,lookup,32,8,6,457.529,3.61434,OK
bucketlock-w32-shrink,lookup,32,8,7,460.545,3.63112,OK
bucketlock-w32-shrink,lookup,64,8,1,702.859,3.23535,OK
bucketlock-w32-shrink,lookup,64,8,2,705.077,3.15875,OK
bucketlock-w32-shrink,lookup,64,8,3,700.585,3.24903,OK
bucketlock-w32-shrink,lookup,64,8,4,798.579,4.7503,OK
bucketlock-w32-shrink,lookup,64,8,5,670.758,3.20418,OK
bucketlock-w32-shrink,lookup,64,8,6,698.075,3.19687,OK
bucketlock-w32-shrink,lookup,64,8,7,704.982,3.22655,OK
bucketlock-w32-shrink,lookup,128,8,1,1083.58,2.13021,OK
bucketlock-w32-shrink,lookup,128,8,2,1104.82,2.14471,OK
bucketlock-w32-shrink,lookup,128,8,3,1128.79,2.09138,OK
bucketlock-w32-shrink,lookup,128,8,4,1092.62,2.13377,OK
bucketlock-w32-shrink,lookup,128,8,5,1054.14,2.69103,OK
bucketlock-w32-shrink,lookup,128,8,6,1054.97,2.68627,OK
bucketlock-w32-shrink,lookup,128,8,7,1085.1,2.77951,OK
bucketlock-w32-shrink,lookup,184,8,1,1345.61,2.26228,OK
bucketlock-w32-shrink,lookup,184,8,2,1347.9,2.11509,OK
bucketlock-w32-shrink,lookup,184,8,3,1341.42,2.32211,OK
bucketlock-w32-shrink,lookup,184,8,4,1314.65,2.29367,OK
bucketlock-w32-shrink,lookup,184,8,5,1333.73,2.33728,OK
bucketlock-w32-shrink,lookup,184,8,6,1308.57,2.26252,OK
bucketlock-w32-shrink,lookup,184,8,7,1316.57,2.23123,OK
bucketlock-w32-shrink,readdir,184,8,1,236.941,1875.64,OK
bucketlock-w32-shrink,readdir,184,8,2,247.603,1958.51,OK
bucketlock-w32-shrink,readdir,184,8,3,216.375,1705.05,OK
bucketlock-w32-shrink,readdir,184,8,4,220.44,1737.75,OK
bucketlock-w32-shrink,readdir,184,8,5,220.68,1739.64,OK
bucketlock-w32-shrink,readdir,184,8,6,241.149,1908.34,OK
bucketlock-w32-shrink,readdir,184,8,7,227.161,1791.77,OK
