layout,engine,run,readers,read_mvisits,viol
split,txn_sw_list,2,4,3112.9,0
split,txn_sw_list,2,8,6222.5,0
split,txn_sw_list,2,16,12443.0,0
split,txn_sw_list,2,32,24881.6,0
split,txn_sw_list,2,64,49590.6,0
split,txn_sw_list,2,96,72246.4,0
split,txn_sw_list,2,128,96951.6,0
split,txn_sw_list,2,160,121409.3,0
split,txn_sw_list,2,191,143184.9,0
split,txn_sw_list,2,192,145001.1,0
