engine,dirmul,writers,ndirs,mchurn_s,conserved
txn-pernode,writers/16,96,6,8.0234,OK
txn-pernode,writers,96,96,81.0568,OK
txn-pernode,16*writers,96,1536,171.774,OK
txn-mark,writers/16,96,6,7.8778,OK
txn-mark,writers,96,96,80.8023,OK
txn-mark,16*writers,96,1536,166.3,OK
bucketlock,writers/16,96,6,2.10973,OK
bucketlock,writers,96,96,83.4044,OK
bucketlock,16*writers,96,1536,288.406,OK
seqlock,writers/16,128,8,1.22211,OK
seqlock,writers,128,128,37.0294,OK
seqlock,16*writers,128,2048,373.844,OK
txn-global,writers/16,128,8,8.44466,OK
txn-global,writers,128,128,89.639,OK
txn-global,16*writers,128,2048,216.442,OK
txn-pernode,writers/16,128,8,8.63922,OK
txn-pernode,writers,128,128,91.9525,OK
txn-pernode,16*writers,128,2048,218.524,OK
txn-mark,writers/16,128,8,8.5952,OK
txn-mark,writers,128,128,91.6348,OK
txn-mark,16*writers,128,2048,213.677,OK
bucketlock,writers/16,128,8,1.51984,OK
bucketlock,writers,128,128,47.3791,OK
bucketlock,16*writers,128,2048,340.75,OK
seqlock,writers/16,160,10,1.30563,OK
seqlock,writers,160,160,41.3027,OK
seqlock,16*writers,160,2560,442.361,OK
txn-global,writers/16,160,10,9.01719,OK
txn-global,writers,160,160,108.873,OK
txn-global,16*writers,160,2560,262.554,OK
txn-pernode,writers/16,160,10,9.17001,OK
txn-pernode,writers,160,160,108.619,OK
txn-pernode,16*writers,160,2560,261.217,OK
txn-mark,writers/16,160,10,8.67439,OK
txn-mark,writers,160,160,109.356,OK
txn-mark,16*writers,160,2560,257.657,OK
bucketlock,writers/16,160,10,1.39201,OK
bucketlock,writers,160,160,54.7348,OK
bucketlock,16*writers,160,2560,420.769,OK
seqlock,writers/16,192,12,1.31375,OK
seqlock,writers,192,192,46.2496,OK
seqlock,16*writers,192,3072,502.426,OK
txn-global,writers/16,192,12,9.74365,OK
txn-global,writers,192,192,127.837,OK
txn-global,16*writers,192,3072,296.505,OK
txn-pernode,writers/16,192,12,9.82077,OK
txn-pernode,writers,192,192,127.247,OK
txn-pernode,16*writers,192,3072,297.61,OK
txn-mark,writers/16,192,12,9.66986,OK
txn-mark,writers,192,192,127.446,OK
txn-mark,16*writers,192,3072,294.953,OK
bucketlock,writers/16,192,12,1.33219,OK
bucketlock,writers,192,192,53.1702,OK
bucketlock,16*writers,192,3072,465.574,OK
